X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName
-90.076989294556824,29.951922709288411,84872,AMERICAN SEAFOOD INC,3034 HAVANA ST,,NEW ORLEANS,LA,70122,,0135 - FISH & SEAFOOD WHLSRS,"HESS WAYNE B            ENGERON, DANIEL J"
-90.068797991638206,29.955838482172968,84873,ARNAUD'S FOOD COMPANY'S  INC,813 BIENVILLE ST,,NEW ORLEANS,LA,70112,504-523-5433,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH",ARNAUD'S FOOD COMPANY IN
-90.066808496322963,29.929229796583222,84874,AZ EXPRESS,1667 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES,"AZ EXPRESS,LLC"
-90.07440595209323,29.928522905326496,84875,B & S FOOD STORE,842 JOSEPHINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES,JOSEPHINE FOOD STORE LLC
-90.059070365526154,29.989534644460708,84876,B XPRESS ELYSIAN FIELDS,3032 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES,B XPRESS ELYSIAN FIELDS LLC
-90.092867040415953,29.930129203632102,84877,BACK ON THE AVENUE,3401 BARONNE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES,BACK ON THE AVENUE LLC
-90.089483809770712,29.963475055077673,84878,BANKS MEAT MARKET,325 S BROAD ST,,NEW ORLEANS,LA,70119,504-822-9004,1103 - MEAT MARKETS,"JADE, INC"
-90.091735812394006,29.919281079426849,84879,BARCIA'S GROCERY INC,3633 ANNUNCIATION ST,,NEW ORLEANS,LA,70115-1306,504-899-9111,1101 - CONVENIENCE STORES,"BARCIA'S GROCERY INC    ORGANO, ANN B"
-90.072237969407723,29.957895506674369,84880,BASIN SUPERMARKET,237 BASIN ST,,NEW ORLEANS,LA,70112,504-522-7947,1101 - CONVENIENCE STORES,BASIN SUPERMARKET INC
-90.084367260284168,29.943846847442579,84881,BAYOU FOOD STORE OF N. O,2432 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-522-1004,1101 - CONVENIENCE STORES,"NGA, INC"
-90.07215398113334,29.954910959124106,84882,BAYOU GIFTS,1000 CANAL ST,,NEW ORLEANS,LA,70130,,"1110 - BEER, WINE & LIQUOR STORES","MAGNOLIA ENTERPRISES, INC."
-90.019653557107006,29.909383174245512,84883,BEHRMAN CAJUN SEAFOOD,4021 BEHRMAN HWY,C,NEW ORLEANS,LA,70114,504-813-3986,1104 - FISH & SEAFOOD MARKETS,BEHRMAN CAJUN SEAFOOD   INC
-89.984049667321074,29.923220297257739,84884,BENNS GROCERY,6445 ISADORE ST,,NEW ORLEANS,LA,70131,504-394-5800,1101 - CONVENIENCE STORES,"BENN, KERMIT"
-89.818452798836063,30.070799135256877,84885,BIG BOY DISTRIBUTORS,4441 SAN GIORGIO ST,,NEW ORLEANS,LA,70129,504-628-5689,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH",BIG BOY DISTRIBUTORS LLC
-90.063233957185176,29.95600245217895,84886,BIG EASY MARDI GRAS CO,600 DECATUR ST,,NEW ORLEANS,LA,70130,504-524-4729,1101 - CONVENIENCE STORES,BIG EASY MARDI GRAS CO LLC
-90.087905076466924,29.923505269288203,84887,BIG FISHERMAN SEAFOOD,3301 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-897-9907,1104 - FISH & SEAFOOD MARKETS,BIG FISHERMAN SEAFOOD INC
-90.067195809343275,29.971623071318916,84888,BIG MIKE'S SEAFOOD,1525 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES,ZAKITA DILLON
-90.046009597107215,30.002275896835144,84889,BOILING POT AT GENTILLY,3868 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES,"BOILING POT AT GENTILLY,LLC"
-90.087753150926886,29.924002275098037,84890,BREAUX MART SUPERMARKETS,3233 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES,BREAUX MART SUPERMARKETS INC
-90.089298374993746,29.962899643896915,84891,BROAD & BANKS SEAFOOD,342 S BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES,HOANG AN INC
-90.076793346064491,29.977381186009687,84892,BROADVIEW SEAFOOD,1468 N BROAD ST,,NEW ORLEANS,LA,70119,504-945-2118,1104 - FISH & SEAFOOD MARKETS,"DON DO, INC"
-90.116208668355128,29.950540239961921,84893,BROADWAY FOOD STORE,2223 BROADWAY ST,,NEW ORLEANS,LA,70118-5409,504-861-0505,1101 - CONVENIENCE STORES,BWC INC
-90.065171684858981,29.982197364222213,84894,BROOKS GROCERY,2434 ALLEN ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES,COUSIN'S FOODMART INC.
-90.091054336351263,29.93180589171493,84895,BROTHER CORNER GROCERY,3201 DRYADES ST,,NEW ORLEANS,LA,70115,504-891-0275,1101 - CONVENIENCE STORES,"PARKS, EDWARD"
-90.018418782096802,29.924205714991714,84896,BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,"EXXON GENERAL DEGAULLE, LLC"
-90.021193545903472,29.961977141681395,84897,BROTHER'S ST CLAUDE,5104 ST CLAUDE AVE,A,NEW ORLEANS,LA,70117,504-220-3777,1101 - CONVENIENCE STORES,ST. CLAUDE DISCOUNT LLC
-90.085845189083415,29.945232664902033,84898,BROTHERS DISCOUNT,2701 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-525-5300,1101 - CONVENIENCE STORES,AZZAM INC
-89.991699695334361,30.02762875067998,84899,BROTHERS FOOD MART  NO 132,5701 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-366-2413,1101 - CONVENIENCE STORES,CROWDER BROTHERS LLC
-90.070761844303561,29.952739693868587,84900,BROTHERS FOOD MART 109,148 CARONDELET ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES,"148 CARONDELET STREET,LLC"
-90.037112015450077,29.945396583192309,84901,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,NEWTON BROTHERS INC
-89.961730828006466,30.047884086460851,84902,BROTHERS FOOD MART NO 127,7001 BULLARD AVE,,NEW ORLEANS,LA,70128,,1101 - CONVENIENCE STORES,BULLARD BROTHERS NO 127 LLC
-90.049790320384005,29.972151382526782,84903,BROTHERS FRANKLIN,2509 N VILLERE ST,,NEW ORLEANS,LA,70117,504-495-3342,1101 - CONVENIENCE STORES,BROTHERS FRANKLIN INC
-90.073256003926687,29.964840731720873,84904,BROWN DERBY,755 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES,FATHER 4 SONS LLC
-90.097667892428348,29.964742219750207,84905,BROWN DERBY #3,3326 TULANE AVE,,NEW ORLEANS,LA,70119,504-827-7899,1101 - CONVENIENCE STORES,NEW CITY MART LLC
-90.053327759356492,29.997409977523347,84906,BROWN DERBY #4,3737 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SANAD LLC
-90.076989294556824,29.951922709288411,84907,BRUFF STUFF,31 MCALISTER DR,,NEW ORLEANS,LA,70118,504-865-5293,1101 - CONVENIENCE STORES,SODEXO MANAGEMENT INC
-90.076989294556824,29.951922709288411,84908,BUNN'S GROCERY,2438 BIENVILLE ST,,NEW ORLEANS,LA,70119,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH",KEITH BUNN
-90.079306760076292,29.968755405930771,84909,BUSY BEE FOOD STORE,2401 ORLEANS AVE,A,NEW ORLEANS,LA,70119-5027,504-821-5586,1101 - CONVENIENCE STORES,ABUALI FADI A
-90.076842453140756,29.950800942237869,84910,C C K SNACK SHOP,1250 POYDRAS ST,,NEW ORLEANS,LA,70112,504-523-6709,1109 - CONFECTIONERY & NUT STORES,"KUY, HEANG D"
-90.057929490189395,29.964286868696014,84911,CAFE ROSE NICAUD,632 FRENCHMEN ST,,NEW ORLEANS,LA,70116,504-948-6823,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PROJECT RENAISSANCE LLC
-90.066380753172197,29.951021755180449,84912,CAJUN COUNTRY STORE,400 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES,DEEP SOUTH GROCERY CO IN
-90.128625278159589,29.919688800789469,84913,CAJUN MOON PRODUCTS,6337 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70118,504-394-1005,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH",CAJUN MOON PRODUCTS
-90.10015318576761,29.950842617180182,84914,CAJUN SEAFOOD,2730 S BROAD ST,,NEW ORLEANS,LA,70125,504-822-6185,1104 - FISH & SEAFOOD MARKETS,"TIEN & TUYET, INC"
-89.977623506389918,30.038508558210321,84915,CAJUN SEAFOOD #4,7020 READ BLVD,,NEW ORLEANS,LA,70127,504-241-1396,1106 - GROCERY (EXC CONVENIENCE) STORES,"CAJUN SEAFOOD #4,LLC"
-90.047344914076248,29.97726284194821,84916,CAJUN SEAFOOD 2,1901 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-945-5447,1101 - CONVENIENCE STORES,RACHEL SEAFOOD INC
-90.077168218629623,29.967326700352007,84917,CAJUN WILLS,2127 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-821-6386,1106 - GROCERY (EXC CONVENIENCE) STORES,CAJUN ORLEANS LLC
-90.08774928796953,29.965515303894353,84918,CANAL MART &  EATERY,2700 CANAL ST,A,NEW ORLEANS,LA,70119,504-821-7730,1101 - CONVENIENCE STORES,VIENNE ENTERPRISE LLC
-90.059885189399651,30.01230780902668,84919,CANSECO'S ELYSIAN FIELDS,5217 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-304-9805,1106 - GROCERY (EXC CONVENIENCE) STORES,"CANSECO'S ELYSIAN FIELDS, LLC"
-90.084498011128048,29.980560028655237,84920,CANSECO'S ESPLANADE MARKET,3135 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-322-2594,1106 - GROCERY (EXC CONVENIENCE) STORES,CANSECO'S ESPLANADE LLC
-90.100711164959861,29.951430346835366,84921,CAPSTONE 118,4035 WASHINGTON AVE,,NEW ORLEANS,LA,70125,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH",CAPSTONE 118 INC
-90.076989294556824,29.951922709288411,84922,CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 SAINT CLAUDE AVE,,NEW ORLEANS,LA,70117,504-948-9990,1101 - CONVENIENCE STORES,"VU & SONS, LLC"
-89.978913230766096,30.051643477471742,84923,CASTNET,10826 HAYNE BLVD,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS,CASTNET SEAFOOD INC
-90.092276675017828,29.939631140244956,84924,CENTRAL CITY GROCERY #3,2611 WASHINGTON AVE,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES,"CENTRAL CITY GROCERY #3, INC."
-90.061319655969783,29.958991322030748,84925,CENTRAL GROCERY CO.,923 DECATUR ST,,NEW ORLEANS,LA,70116,504-523-1620,1101 - CONVENIENCE STORES,CENTRAL GROCERY CO. LLC
-89.927411706044026,30.031851359283426,84926,CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES,"TRAN FAMILY VENTURES, LLC"
-89.959536188256749,30.021036409390035,84927,CHEF DISCOUNT MARKET,10833 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-329-8179,1106 - GROCERY (EXC CONVENIENCE) STORES,"AMA DISCOUNT, INC"
-89.801162595894027,30.071416277476082,84928,CHEF HARBOR,21135 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-662-5511,"1111 - SPECIALTY FOOD STORES, ALL OTHER","LOUIS VIAVANT BOAT HARBOVIAVANT, GEORGE L"
-89.79297693425768,30.078731739872811,84929,CHEF PASS SEAFOOD,21659 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,0135 - FISH & SEAFOOD WHLSRS,"JOHN JULIAN ,JR"
-90.118076017761965,29.92150574456759,84930,CHEZ NOUS CHARCUTERIE,5701 MAGAZINE ST,,NEW ORLEANS,LA,70115,,"1111 - SPECIALTY FOOD STORES, ALL OTHER",CHEZ NOUS CHARCUTERIE IN
-90.084936422734117,29.938633540830242,84931,CHICKEN MART,2200 SIMON BOLIVAR AVE,,NEW ORLEANS,LA,70113,504-522-8893,1103 - MEAT MARKETS,"CHICKEN MART, INC"
-90.015453644772379,29.961378293958774,84932,CHICKEN MART II,5601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1103 - MEAT MARKETS,CHICKEN MART II LLC
-90.070068409210833,29.929768744100272,84933,CHIPPEWA FOOD STORE,1684 CHIPPEWA ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES,"ESMAIL, ASAD"
-90.114343609187586,30.004993607679932,84934,CHRIS' SPECIALITY MEATS,6251 WEST END BLVD,,NEW ORLEANS,LA,70124,,1106 - GROCERY (EXC CONVENIENCE) STORES,"CHRIS' SPECIALITY MEATS, INC"
-90.065463541054868,29.972045529598766,84935,CIRCLE FOOD STORE,1522 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES,CIRCLE FOOD STORE INC
-90.066368348801205,29.973370699281681,84936,CIRCLE H MEAT MARKET,1600 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1103 - MEAT MARKETS,LAYLA LLC
-90.073182612543121,29.943511889095394,84937,CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC."
-90.109986602005037,29.96522707860758,84938,CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC."
-90.113419520220873,29.946207863373999,84939,CIRCLE K #4906,6229 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-861-9107,1101 - CONVENIENCE STORES,CIRCLE K STORES INC
-90.122885731537551,29.922299081600816,84940,CIRCLE K #8276,6050 MAGAZINE ST,,NEW ORLEANS,LA,70118,504-895-0871,1101 - CONVENIENCE STORES,CIRCLE K STORES INC
-90.077993691532924,29.940600500938519,84941,CK'S  HOT SHOPPE,1433 BARONNE ST,,NEW ORLEANS,LA,70113,504-309-5150,1106 - GROCERY (EXC CONVENIENCE) STORES,"CK'S HOT SHOPPE, LLC"
-90.049021257162551,29.974264440136476,84942,CLAIBORNE SUPERMARKET,2541 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-948-2327,1106 - GROCERY (EXC CONVENIENCE) STORES,"AWNI, INC"
-90.076989294556824,29.951922709288411,84943,CLEO CUISINE CONVENIENCE,165 UNIVERSITY PL,,NEW ORLEANS,LA,70112,504-522-4504,1101 - CONVENIENCE STORES,YOUSSEF ENTERPRISES LLC
-90.075283254368557,29.966046716484293,84944,COMMUNITY 6 GROCERY,1921 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-821-7966,1106 - GROCERY (EXC CONVENIENCE) STORES,"COMMUNITY 6 GROCERY, LLC"
-90.066874548671336,29.956787331183619,84945,COMPAC FOOD & GENERAL STORE,730 ST LOUIS ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES,"HINA ENTERPRISES, INC"
-90.066874548671336,29.956787331183619,84946,COMPAC FOOD & GENERAL STORE,730 ST LOUIS ST,SUITE B,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES,"HINA ENTERPRISES, INC"
-90.076989294556824,29.951922709288411,84947,COMPAK FOOD & DELI,501 DAUPHINE ST,,NEW ORLEANS,LA,70130,504-525-2311,1101 - CONVENIENCE STORES,"DURGA ENTERPRISES, INC"
-90.110647659927153,29.967936655127982,84948,COSTCO WHOLESALE 1147,3900 DUBLIN ST,,NEW ORLEANS,LA,70118,425-313-8100,"1111 - SPECIALTY FOOD STORES, ALL OTHER",COSTCO WHOLESALE CORPORATION
-90.076989294556824,29.951922709288411,84949,COURT LIQUORS,618-620 BOURBON ST,,NEW ORLEANS,LA,70130,504-581-5804,1101 - CONVENIENCE STORES,"JOS FEIN CATERERS, INC"
-90.124214245798271,29.967202643520693,84950,COYE FOOD STORE,9103 FIG ST,,NEW ORLEANS,LA,70118,504-828-7921,1101 - CONVENIENCE STORES,JUDEH SUHAD
-90.097981138239135,29.978399614138013,84951,CREOLE COUNTRY INC,512 DAVID ST,,NEW ORLEANS,LA,70119,,1103 - MEAT MARKETS,CREOLE COUNTRY INC
-90.051633753538894,29.979973545368033,84952,CREOLE LUNCHBOX,2440 N MIRO ST,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES,"LV SERVICES, LLC"
-90.068562777066404,29.953152671904807,84953,CREOLE SUPERSTORE,623 CANAL ST,,NEW ORLEANS,LA,70130,504-586-0703,1101 - CONVENIENCE STORES,MAGNOLIA ENTERPRISES INC
-90.063293825976814,29.94773526893049,84954,CRESCENT CITY MARKETPLACE,2 POYDRAS ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES,HILTON MANAGEMENT LLC
-89.992314528295324,30.028475642790102,84955,CROWDER CENTER,5769 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-241-6555,1101 - CONVENIENCE STORES,DALYA LLC
-90.111615163557303,29.956464461435765,84956,CTN GROCERY,2931 BROADWAY ST,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,HENRIETTE KAMBI
-90.104009745867984,29.940545167696342,84957,CVS/ PHARMACY # 167,4401 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,401-765-1500,1101 - CONVENIENCE STORES,"LOUISIANA CVS PHARMACY, L.L.C."
-90.070673344235161,29.984927088371741,84958,D & M DISCOUNT STORE,2037 N BROAD ST,,NEW ORLEANS,LA,70119,504-235-3478,1106 - GROCERY (EXC CONVENIENCE) STORES,K & O BROTHERS LLC
-90.079161074225581,29.944684686487669,84959,DANNY FOOD STORE,2000 EARHART BLVD,A,NEW ORLEANS,LA,70113,504-680-0135,1101 - CONVENIENCE STORES,"STEVEN CAO TRAN, INC."
-90.057212000721762,29.97881429230581,84960,DANNY FOOD STORE,2101 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES,"DANG ENTERPRISE , INC."
-90.067049441457954,29.974737015023123,84961,DANNY'S PACKAGE LIQUOR &      SEAFOOD MKT,1812 ONZAGA ST,,NEW ORLEANS,LA,70116,504-949-8666,1101 - CONVENIENCE STORES,P & N ENTERPRISES INC
-90.076989294556824,29.951922709288411,84962,DAP MINISTRIES OUTLET,1234 PRESS DR,,NEW ORLEANS,LA,70117-7247,,"1501 - DURABLE GOODS WHLSRS, OTHER MISC","WILLIAMS, WILLIE JR"
-90.025441724897689,29.927311712994332,84963,DAT'S CAJUN SEAFOOD,3020 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-362-8252,1104 - FISH & SEAFOOD MARKETS,"DAT'S CAJUN SEAFOOD, LLC"
-90.072943337957582,29.932296282306449,84964,DAT'S GROCERY,1600 MAGAZINE ST,,NEW ORLEANS,LA,70130-4726,504-529-2671,1101 - CONVENIENCE STORES,DAT'S GROCERY INC
-90.034917792074552,30.001839081851603,84965,DAY & NIGHT DISCOUNT,4039 LOUISA ST,B,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES,BINH VAN CORPORATION
-90.068507240881772,29.952461576963991,84966,DEEP SOUTH TRADING CO,600 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES,DEEP SOUTH GROCERY CO   INC
-90.089290585975434,29.946442822093395,84967,DISCOUNT CITY,2013 S CLAIBORNE AVE,D,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,T & HO LLC
-90.126049679721561,29.960795598781555,84968,DISCOUNT CORNER,8733 S CLAIBORNE AVE,,NEW ORLEANS,LA,70118,504-864-0057,1101 - CONVENIENCE STORES,ARIYAN INC
-90.072379747629284,29.97176510801167,84969,DISCOUNT EXPRESS,2000 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-433-8600,1101 - CONVENIENCE STORES,2 NY FASHIONS INC
-90.067111730329884,29.952157164805758,84970,DIXIE MARKET,501 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES,DEEP SOUTH GROCERY CO   INC
-90.131284379849546,29.956317025151908,84971,DON'S FOOD  MART,1730 EAGLE ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES,"DON'S FOOD MART, LLC"
-90.021260380170588,30.01823003509281,84972,DOWNMAN SUPERMARKET,4827 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-242-2882,1101 - CONVENIENCE STORES,FADI INC
-89.993340605920579,30.013670841069025,84973,EAST SIDE CASH & CARRY INC,7943 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-243-9797,1101 - CONVENIENCE STORES,"EAST SIDE CASH & CARRY,"
-89.963349587694253,30.048268165909192,84974,EASTOVER MARKET,7050 BULLARD AVE,,NEW ORLEANS,LA,70128,504-244-0741,1106 - GROCERY (EXC CONVENIENCE) STORES,SARA GROCERY INC
-89.921042252337259,30.033686221452363,84975,EL CATRACHO LLC,13801 CHEF MENTEUR HWY,#A,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES,EL CATRACHO LLC
-89.912345926587079,30.037705543060984,84976,EL TIO SUPERMARKET,4664 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES,EL TIO SUPERMARKET
-90.061834922164834,30.023425087105942,84977,ELYSIAN FIELDS SHELL,6300 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-884-8766,1101 - CONVENIENCE STORES,"M & S  OIL SERVICES, L.L.C."
-90.061506984557994,29.964690060341674,84978,ESPLANADE MINI MART,839 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-329-8179,1101 - CONVENIENCE STORES,ALLAN'S GROCERY LLC
-90.024856015032427,29.928114644834331,84979,EVERGREEN SUPERMARKET,3011 SANDRA DR,,NEW ORLEANS,LA,70114,504-368-1581,1101 - CONVENIENCE STORES,MALAK 2000 INC
-90.076582892185272,29.985725798201496,84980,FAIR ZONE FOOD STORE 2,1825 GENTILLY BLVD,,NEW ORLEANS,LA,70119,504-461-6175,1101 - CONVENIENCE STORES,FAIR ZONE FOOD STORE 2 LLC
-90.048015746051064,29.977085858424648,84981,FAME CONVENIENT STORE,1842 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-304-3223,1101 - CONVENIENCE STORES,"STEWART MANAGMENT, LLC"
-90.092992982990324,29.931916183707916,84982,FAMILY DISCOUNT STORE,1935 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-895-4272,1101 - CONVENIENCE STORES,FAMILY DISCOUNT STORE INC
-89.969502779322909,30.056934983701762,84983,FAMILY RANCH MARKET,11950 HAYNE BLVD,,NEW ORLEANS,LA,70128,504-243-1944,1106 - GROCERY (EXC CONVENIENCE) STORES,"RANCH, INC"
-90.020506223399892,29.962674429416719,84984,FAMILY STOP,5131 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES,"FAMILY STOP, LLC"
-90.100564500452847,29.951143569012451,84985,FAST STOP,2745 S BROAD ST,,NEW ORLEANS,LA,70125,,1106 - GROCERY (EXC CONVENIENCE) STORES,MONA REALTY LLC
-90.02459528596772,30.025278143097779,84986,FAST STOP,7200 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES,"FAST STOP OF DOWNMAN,LLC"
-90.128047904994332,29.940828422897333,84987,FAVORI,7507 MAPLE ST,,NEW ORLEANS,LA,70118,504-866-8140,1101 - CONVENIENCE STORES,ANNAM INC
